Date,ReportType,LateCount,TotalCount
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
2025-07-18,GENCHEM,97,221
2025-07-18,HG,9,45
2025-07-18,EXTLCMS,684,700
2025-07-18,LCMSPFAS,171,924
2025-07-18,MSVOA,70,192
2025-07-30,METALS,166,181
2025-07-30,ORGPREP,108,108
2025-07-30,MSSEMI,60,61
2025-07-30,GCSEMI,155,156
2025-07-30,GCVOA,69,70
2025-07-30,GENCHEM,193,221
2025-07-30,HG,44,45
2025-07-30,EXTLCMS,700,700
2025-07-30,LCMSPFAS,723,924
2025-07-30,MSVOA,191,192
2025-07-30,METALS,166,181
2025-07-30,ORGPREP,108,108
2025-07-30,MSSEMI,60,61
2025-07-30,GCSEMI,155,156
2025-07-30,GCVOA,69,70
2025-07-30,GENCHEM,193,221
2025-07-30,HG,44,45
2025-07-30,EXTLCMS,700,700
2025-07-30,LCMSPFAS,723,924
2025-07-30,MSVOA,191,192
2025-07-30,METALS,166,181
2025-07-30,ORGPREP,108,108
2025-07-30,MSSEMI,60,61
2025-07-30,GCSEMI,155,156
2025-07-30,GCVOA,69,70
2025-07-30,GENCHEM,193,221
2025-07-30,HG,44,45
2025-07-30,EXTLCMS,700,700
2025-07-30,LCMSPFAS,723,924
2025-07-30,MSVOA,191,192
2025-08-05,METALS,74,459
2025-08-05,ORGPREP,7,366
2025-08-05,MSSEMI,7,208
2025-08-05,GCSEMI,53,315
2025-08-05,GCVOA,0,54
2025-08-05,GENCHEM,52,434
2025-08-05,HG,12,195
2025-08-05,EXTLCMS,964,1326
2025-08-05,LCMSPFAS,2,1477
2025-08-05,MSVOA,0,226
2025-08-05,METALS,74,459
2025-08-05,ORGPREP,7,366
2025-08-05,MSSEMI,7,208
2025-08-05,GCSEMI,53,315
2025-08-05,GCVOA,0,54
2025-08-05,GENCHEM,52,434
2025-08-05,HG,12,195
2025-08-05,EXTLCMS,964,1326
2025-08-05,LCMSPFAS,2,1477
2025-08-05,MSVOA,0,226
2025-08-05,METALS,74,459
2025-08-05,ORGPREP,7,366
2025-08-05,MSSEMI,7,208
2025-08-05,GCSEMI,53,315
2025-08-05,GCVOA,0,54
2025-08-05,GENCHEM,52,434
2025-08-05,HG,12,195
2025-08-05,EXTLCMS,964,1326
2025-08-05,LCMSPFAS,2,1477
2025-08-05,MSVOA,0,226
2025-08-06,METALS,86,459
2025-08-06,ORGPREP,82,366
2025-08-06,MSSEMI,15,208
2025-08-06,GCSEMI,58,315
2025-08-06,GCVOA,0,54
2025-08-06,GENCHEM,54,434
2025-08-06,HG,12,195
2025-08-06,EXTLCMS,1188,1326
2025-08-06,LCMSPFAS,73,1477
2025-08-06,MSVOA,0,226
2025-08-06,METALS,86,459
2025-08-06,ORGPREP,82,366
2025-08-06,MSSEMI,15,208
2025-08-06,GCSEMI,58,315
2025-08-06,GCVOA,0,54
2025-08-06,GENCHEM,54,434
2025-08-06,HG,12,195
2025-08-06,EXTLCMS,1188,1326
2025-08-06,LCMSPFAS,73,1477
2025-08-06,MSVOA,0,226
2025-08-06,METALS,86,459
2025-08-06,ORGPREP,82,366
2025-08-06,MSSEMI,15,208
2025-08-06,GCSEMI,58,315
2025-08-06,GCVOA,0,54
2025-08-06,GENCHEM,54,434
2025-08-06,HG,12,195
2025-08-06,EXTLCMS,1188,1326
2025-08-06,LCMSPFAS,73,1477
2025-08-06,MSVOA,0,226
2025-08-06,METALS,86,459
2025-08-06,ORGPREP,82,366
2025-08-06,MSSEMI,15,208
2025-08-06,GCSEMI,58,315
2025-08-06,GCVOA,0,54
2025-08-06,GENCHEM,54,434
2025-08-06,HG,12,195
2025-08-06,EXTLCMS,1188,1326
2025-08-06,LCMSPFAS,73,1477
2025-08-06,MSVOA,0,226
